com.google.android.gm,Gmail
com.google.android.googlequicksearchbox,Google
com.google.android.apps.plus,Google Plus
com.google.android.talk,Hangouts
com.google.android.youtube,YouTube
com.google.android.apps.youtube.music,YouTube Music
com.google.android.inputmethod.latin,Gboard
com.google.android.contacts,Contacts
com.google.android.dialer,Phone
com.google.android.apps.photos,Photos
com.google.android.deskclock,Clock
com.google.android.GoogleCamera,Camera
com.google.android.apps.inbox,Inbox
com.google.android.apps.tachyon,Duo
com.dropbox.android,Dropbox
com.pushbullet.android,PushBullet
com.google.android.calendar,Calendar
com.google.android.keep,Keep
org.telegram.messenger,Telegram
com.touchtype.swiftkey,Swiftkey
com.google.android.apps.translate,Translate
com.facebook.katana,Facebook
com.pandora.android,Pandora
com.twitter.android,Twitter
com.Slack,Slack
mega.privacy.android.app,Mega
com.whatsapp,WhatsApp
com.google.android.apps.googlevoice,Voice
com.google.android.apps.docs,Drive
com.netflix.mediaclient,Netflix
com.google.android.apps.nexuslauncher,Pixel Launcher
com.google.android.apps.wallpaper,Wallpapers
com.gopro.smarty,Capture
com.google.android.apps.gcs,Google Connectivity Services
com.google.vr.vrcore,Google VR Services
com.google.android.gms,Google Play Services
com.google.android.ims,Google Carrier Services
